Suburb	Council_Area
Blackburn North 	Whitehorse C  
Blackburn South 	Whitehorse C  
Blackheath 	Horsham RC  
Blackwarry 	Wellington S  
Blackwood 	Moorabool S  
Blackwood Forest 	Bass Coast S  
Blackwood North 	Hepburn S  
Blairgowrie 	Mornington Peninsula S  
Blakeville 	Moorabool S  
Blampied 	Hepburn S  
Blind Bight 	Casey C  
Blowhard 	Ballarat C  
Bo Peep 	Ballarat C  
Bo Peep 	Pyrenees S  
Bobinawarrah 	Wangaratta RC  
Bochara 	Southern Grampians S  
Bogong 	Alpine S  
Boho 	Strathbogie S  
Boho South 	Benalla RC  
Boho South 	Strathbogie S  
Boigbeat 	Buloke S  
Boinka 	Mildura RC  
Boisdale 	Wellington S  
Bolangum 	Northern Grampians S  
Bolinda 	Macedon Ranges S  
Bolton 	Swan Hill RC  
Bolwarra 	Glenelg S  
Bolwarrah 	Moorabool S  
Bona Vista 	Baw Baw S  
Bonang 	East Gippsland S  
Bonbeach 	Kingston C  
Bonegilla 	Wodonga RC  
Boneo 	Mornington Peninsula S  
Bonnie Doon 	Benalla RC  
Bonnie Doon 	Mansfield S  
Bonshaw 	Ballarat C  
Bookaar 	Corangamite S  
Boola 	Baw Baw S  
Boola 	Latrobe C  
Boolarong 	South Gippsland S  
Boolarra 	Latrobe C  
Boolarra 	South Gippsland S  
Boolarra South 	Latrobe C  
Boolarra South 	South Gippsland S  
Boole Poole 	East Gippsland S  
Boolite 	Yarriambiack S  
Boomahnoomoonah 	Moira S  
Boonah 	Surf Coast S  
Boorcan 	Corangamite S  
Boorhaman 	Wangaratta RC  
Boorhaman East 	Wangaratta RC  
Boorhaman North 	Wangaratta RC  
Boorolite 	Mansfield S  
Boorool 	South Gippsland S  
Boort 	Loddon S  
Boosey 	Moira S  
Boralma 	Wangaratta RC  
Bornes Hill 	Ararat RC  
Boronia 	Knox C  
Borung 	Loddon S  
Bostock Creek 	Corangamite S  
Boundary Bend 	Swan Hill RC  
Bowenvale 	Central Goldfields S  
Boweya 	Benalla RC  
Boweya 	Wangaratta RC  
Boweya North 	Moira S  
Bowmans Forest 	Wangaratta RC  
Bowser 	Wangaratta RC  
Box Hill 	Whitehorse C  
Box Hill North 	Whitehorse C  
Box Hill South 	Whitehorse C  
Boxwood 	Benalla RC  
Boxwood 	Greater Shepparton C  
Bradford 	Mount Alexander S  
Bradvale 	Corangamite S  
Braeside 	Kingston C  
Branditt 	Greater Shepparton C  
Brandy Creek 	Baw Baw S  
Branxholme 	Glenelg S  
Branxholme 	Southern Grampians S  
Bravington 	Baw Baw S  
Braybrook 	Maribyrnong C  
Breakaway Creek 	Glenelg S  
Breakwater 	Greater Geelong C  
Breakwater Creek 	Moyne S  
Breamlea 	Greater Geelong C  
Breamlea 	Surf Coast S  
Brenanah 	Loddon S  
Brewster 	Pyrenees S  
Briagolong 	Wellington S  
Briar Hill 	Banyule C  
Briar Hill 	Nillumbik S  
Bridge Creek 	Benalla RC  
Bridge Creek 	Mansfield S  
Bridge Inn 	Northern Grampians S  
Bridgewater 	Loddon S  
Bridgewater North 	Loddon S  
Bridgewater on London 	Loddon S  
Bright 	Alpine S  
Brighton 	Bayside C  
Brighton East 	Bayside C  
Brighton East 	Glen Eira C  
Brim 	Yarriambiack S  
Brimboal 	Glenelg S  
Brimin 	Indigo S  
Brimpaen 	Horsham RC  
Brimpaen 	Northern Grampians S  
Bringalbert 	West Wimmera S  
Brit Brit 	Southern Grampians S  
Broadford 	Mitchell S  
Broadlands 	East Gippsland S  
Broadmeadows 	Hume C  
Broadwater 	Moyne S  
Brodribb River 	East Gippsland S  
Broken Creek 	Benalla RC  
Bromley 	Central Goldfields S  
Brookfield 	Melton S  
Brooklyn 	Brimbank C  
Brooklyn 	Hobsons Bay C  
Brooklyn 	Maribyrnong C  
Brookville 	East Gippsland S  
Broomfield 	Hepburn S  
Broughton 	Hindmarsh S  
Broughton 	West Wimmera S  
Brown Hill 	Ballarat C  
Browns Plains 	Indigo S  
Bruarong 	Indigo S  
Bruces Creek 	Whittlesea C  
Brucknell 	Corangamite S  
Brucknell 	Moyne S  
Brunswick 	Moreland C  
Brunswick East 	Moreland C  
Brunswick West 	Moreland C  
Bruthen 	East Gippsland S  
Buangor 	Ararat RC  
Buangor 	Pyrenees S  
Buchan 	East Gippsland S  
Buchan South 	East Gippsland S  
