Suburb	Council_Area
Lance Creek 	Bass Coast S  
Lancefield 	Macedon Ranges S  
Landsborough 	Pyrenees S  
Landsborough 	Wellington S  
Landsborough West  Northern Grampians S  
Landsborough West 	Pyrenees S  
Lang Lang 	Bass Coast S  
Lang Lang 	Cardinia S  
Lang Lang 	South Gippsland S  
Lang Lang East 	Cardinia S  
Langdons Hill 	Hepburn S  
Langi Kal Kal 	Pyrenees S  
Langi Logan 	Ararat RC  
Langkoop 	West Wimmera S  
Langley 	Mount Alexander S  
Langwarrin 	Frankston C  
Langwarrin South 	Frankston C  
Lara 	Greater Geelong C  
Lardner 	Baw Baw S  
Larpent 	Colac Otway S  
Larralea 	Corangamite S  
Lascelles 	Yarriambiack S  
Launching Place 	Yarra Ranges S  
Lauriston 	Macedon Ranges S  
Lavers Hill 	Colac Otway S  
Laverton 	Hobsons Bay C  
Laverton 	Wyndham C  
Laverton North 	Wyndham C  
Laverton RAAF 	Wyndham C  
Lawler 	Buloke S  
Lawler 	Yarriambiack S  
Lawloit 	West Wimmera S  
Lawrence 	Hepburn S  
Leaghur 	Loddon S  
Learmonth 	Ballarat C  
Ledcourt 	Northern Grampians S  
Leichardt 	Greater Bendigo C  
Leichardt 	Loddon S  
Leigh Creek 	Moorabool S  
Leitchville 	Gannawarra S  
Leitchville 	Loddon S  
Lemnos 	Greater Shepparton C  
Leneva 	Wodonga RC  
Leonards Hill 	Hepburn S  
Leongatha 	South Gippsland S  
Leongatha North 	South Gippsland S  
Leongatha South 	South Gippsland S  
Leopold 	Greater Geelong C  
Lerderderg 	Moorabool S  
Leslie Manor 	Corangamite S  
Lethbridge 	Golden Plains S  
Lexton 	Pyrenees S  
Licola 	Wellington S  
Licola North 	Mansfield S  
Licola North 	Wellington S  
Lillico 	Baw Baw S  
Lillicur 	Central Goldfields S  
Lillicur 	Pyrenees S  
Lillimur 	West Wimmera S  
Lilliput 	Indigo S  
Lilydale 	Yarra Ranges S  
Lima 	Benalla RC  
Lima East 	Benalla RC  
Lima South 	Benalla RC  
Lima South 	Mansfield S  
Limestone 	Murrindindi S  
Limonite 	South Gippsland S  
Lindenow 	East Gippsland S  
Lindenow South 	East Gippsland S  
Lindsay 	Glenelg S  
Lindsay Point 	Mildura RC  
Linga 	Mildura RC  
Linton 	Golden Plains S  
Liparoo 	Swan Hill RC  
Lismore 	Corangamite S  
Litchfield 	Buloke S  
Little Desert 	Hindmarsh S  
Little Hampton 	Hepburn S  
Little River 	Greater Geelong C  
Little River 	Wyndham C  
Llanelly 	Loddon S  
Llowalong 	Wellington S  
Loch 	Bass Coast S  
Loch 	South Gippsland S  
Loch Sport 	Wellington S  
Loch Valley 	Baw Baw S  
Lochend 	East Gippsland S  
Lockington 	Campaspe S  
Locksley 	Strathbogie S  
Lockwood 	Greater Bendigo C  
Lockwood South 	Greater Bendigo C  
Lockwood South 	Mount Alexander S  
Loddon Vale 	Loddon S  
Logan 	Loddon S  
Logan 	Northern Grampians S  
Londrigan 	Wangaratta RC  
Long Forest 	Moorabool S  
Long Gully 	Greater Bendigo C  
Longerenong 	Horsham RC  
Longerenong 	Yarriambiack S  
Longford 	Wellington S  
Longlea 	Greater Bendigo C  
Longwarry 	Baw Baw S  
Longwarry 	Cardinia S  
Longwarry North 	Baw Baw S  
Longwood 	Strathbogie S  
Longwood East 	Strathbogie S  
Lorne 	Surf Coast S  
Lorquon 	Hindmarsh S  
Lovely Banks 	Greater Geelong C  
Lower Moira 	Moira S  
Lower Norton 	Horsham RC  
Lower Plenty 	Banyule C  
Loy Yang 	Latrobe C  
Lubeck 	Northern Grampians S  
Lubeck 	Yarriambiack S  
Lucknow 	East Gippsland S  
Lucyvale 	Towong S  
Lurg 	Benalla RC  
Lurg Upper 	Benalla RC  
Lurg Upper 	Wangaratta RC  
Lyal 	Greater Bendigo C  
Lynbrook 	Casey C  
Lyndhurst 	Casey C  
Lyndhurst 	Greater Dandenong C  
Lyons 	Glenelg S  
Lyonville 	Hepburn S  
Lysterfield 	Knox C  
Lysterfield 	Yarra Ranges S  
Lysterfield South 	Casey C  
Macarthur 	Moyne S  
Macclesfield 	Yarra Ranges S  
Macedon 	Macedon Ranges S  
Macks Creek 	Wellington S  
Macleod 	Banyule C  
Macleod 	Darebin C  
Macorna 	Gannawarra S  
Macorna 	Loddon S  
Macorna North 	Gannawarra S  
Macs Cove 	Mansfield S  
Madalya 	Wellington S  
Maddingley 	Moorabool S  
Mafeking 	Ararat RC  
Maffra 	Wellington S  
Maffra West Upper 	Wellington S  
Magpie 	Ballarat C  
Maiden Gully 	Greater Bendigo C  
Maidstone 	Maribyrnong C  
Mailor Flat 	Moyne S  
Main Lead 	Pyrenees S  
Main Ridge 	Mornington Peninsula S  
Maindample 	Mansfield S  
Maintongoon 	Murrindindi S  
Major Plains 	Benalla RC  
Major Plains 	Greater Shepparton C  
Majorca 	Central Goldfields S  
Maldon 	Mount Alexander S  
Mallacoota 	East Gippsland S  
Malmsbury 	Hepburn S  
Malmsbury 	Macedon Ranges S  
Malmsbury 	Mount Alexander S  
Malvern 	Stonnington C  
Malvern East 	Stonnington C  
Mambourin 	Wyndham C  
Manangatang 	Swan Hill RC  
Mandurang 	Greater Bendigo C  
Mandurang South 	Greater Bendigo C  
Mangalore 	Mitchell S  
Mangalore 	Strathbogie S  
Manifold Heights 	Greater Geelong C  
Mannerim 	Greater Geelong C  
Mannibadar 	Golden Plains S  
Manns Beach 	Wellington S  
Manorina 	East Gippsland S  
Mansfield 	Mansfield S  
Maramingo Creek 	East Gippsland S  
Marcus Hill 	Greater Geelong C  
Mardan 	South Gippsland S  
Marengo 	Colac Otway S  
Maribyrnong 	Maribyrnong C  
Marionvale 	Greater Shepparton C  
Markwood 	Wangaratta RC  
Marlbed 	Buloke S  
Marlo 	East Gippsland S  
Marnoo 	Northern Grampians S  
Marnoo East 	Northern Grampians S  
Marnoo West 	Northern Grampians S  
Marong 	Greater Bendigo C  
Marong 	Loddon S  
Maroona 	Ararat RC  
Marraweeny 	Strathbogie S  
Marshall 	Greater Geelong C  
Marthavale 	East Gippsland S  
Marungi 	Greater Shepparton C  
Marungi 	Moira S  
Maryborough 	Central Goldfields S  
Maryknoll 	Cardinia S  
Marysville 	Murrindindi S  
Maryvale 	Latrobe C  
Massey 	Buloke S  
Matlock 	Mansfield S  
Matlock 	Yarra Ranges S  
Maude 	Golden Plains S  
McCrae 	Mornington Peninsula S  
McEvoys 	Campaspe S  
McIntyre 	Loddon S  
McKenzie Creek 	Horsham RC  
McKenzies Hill 	Mount Alexander S  
McKinnon 	Glen Eira C  
McLoughlins Beach 	Wellington S  
McMahons Creek 	Yarra Ranges S  
McMillans 	Gannawarra S  
Mead 	Gannawarra S  
Meadow Creek 	Wangaratta RC  
Meadow Heights 	Hume C  
Meatian 	Gannawarra S  
Meatian 	Swan Hill RC  
Meeniyan 	South Gippsland S  
Meering West 	Gannawarra S  
Meering West 	Loddon S  
Meerlieu 	Wellington S  
Melbourne 	Melbourne C  
Melbourne 	Melbourne C  
Melbourne 	Port Phillip C  
Melbourne Airport 	Hume C  
Melbourne West 	Melbourne C  
Melton 	Melton S  
Melton South 	Melton S  
Melton West 	Melton S  
Melville Forest 	Sthn Grampians S  
Melwood 	East Gippsland S  
Mena Park 	Pyrenees S  
Mentone 	Kingston C  
Menzies Creek 	Cardinia S  
Menzies Creek 	Yarra Ranges S  
Mepunga 	Moyne S  
Mepunga East 	Moyne S  
Mepunga West 	Moyne S  
Merbein 	Mildura RC  
Merbein South 	Mildura RC  
Merbein West 	Mildura RC  
Meredith 	Golden Plains S  
Meredith 	Moorabool S  
Meringur 	Mildura RC  
Merino 	Glenelg S  
Merlynston 	Moreland C  
Mernda 	Whittlesea C  
Merriang 	Alpine S  
Merricks 	Mornington Peninsula S  
Merricks Beach 	Mornington Pen S  
Merricks North 	Mornington Pen S  
Merrigum 	Greater Shepparton C  
Merrijig 	East Gippsland S  
Merrijig 	Mansfield S  
Merrimu 	Moorabool S  
Merrinee 	Mildura RC  
Merton 	Mansfield S  
Merton 	Murrindindi S  
Metcalfe 	Mount Alexander S  
Metcalfe East 	Mount Alexander S  
Metung 	East Gippsland S  
Mewburn Park 	Wellington S  
Mia Mia 	Greater Bendigo C  
Mia Mia 	Mitchell S  
Mickleham 	Hume C  
Mid Valley 	Latrobe C  
Middle Creek 	Ararat RC  
Middle Creek 	Pyrenees S  
Middle Park 	Port Phillip C  
Middle Tarwin 	South Gippsland S  
Miepoll 	Strathbogie S  
Miga Lake 	West Wimmera S  
Milawa 	Wangaratta RC  
Mildura 	Mildura RC  
Mill Park 	Whittlesea C  
Millbrook 	Moorabool S  
Millgrove 	Yarra Ranges S  
Milloo 	Campaspe S  
Milloo 	Loddon S  
Milltown 	Glenelg S  
Milnes Bridge 	Gannawarra S  
Mincha 	Loddon S  
Mincha West 	Gannawarra S  
Miners Rest 	Ballarat C  
Mingay 	Corangamite S  
Minhamite 	Moyne S  
Minimay 	West Wimmera S  
Mininera 	Ararat RC  
Minjah 	Moyne S  
Minmindie 	Loddon S  
Minto 	Greater Bendigo C  
Minyip 	Yarriambiack S  
Miowera 	Wellington S  
Miralie 	Swan Hill RC  
Miram 	West Wimmera S  
Mirboo 	Latrobe C  
Mirboo 	South Gippsland S  
Mirboo East 	South Gippsland S  
Mirboo North 	South Gippsland S  
Mirboo South 	Baw Baw S  
Mirimbah 	Mansfield S  
Mirranatwa 	Southern Grampians S  
Mitcham 	Whitehorse C  
Mitchell Park 	Ballarat C  
Mitchells Hill 	Northern Grampians S  
Mitchellstown 	Strathbogie S  
Mitiamo 	Campaspe S  
Mitiamo 	Loddon S  
Mitre 	Horsham RC  
Mitre 	West Wimmera S  
Mitta Mitta 	East Gippsland S  
Mitta Mitta 	Towong S  
Mittyack 	Mildura RC  
Mockinya 	Horsham RC  
Modella 	Baw Baw S  
Modella 	Cardinia S  
Modewarre 	Surf Coast S  
Moe 	Baw Baw S  
Moe 	Latrobe C  
Moe South 	Baw Baw S  
Moe South 	Latrobe C  
Moggs Creek 	Surf Coast S  
Moglonemby 	Strathbogie S  
Mokepilly 	Northern Grampians S  
Molesworth 	Murrindindi S  
Moliagul 	Central Goldfields S  
Moliagul 	Loddon S  
Molka 	Strathbogie S  
Mollongghip 	Hepburn S  
Mollongghip 	Moorabool S  
Mologa 	Loddon S  
Molyullah 	Benalla RC  
Monbulk 	Yarra Ranges S  
Monegeetta 	Macedon Ranges S  
Mongans Bridge 	Alpine S  
Monomak 	Wellington S  
Monomeith 	Cardinia S  
Mont Albert 	Boroondara C  
Mont Albert 	Whitehorse C  
Mont Albert North 	Whitehorse C  
Montgomery 	Wellington S  
Montmorency 	Banyule C  
Montrose 	Yarra Ranges S  
Moolap 	Greater Geelong C  
Moolerr 	Northern Grampians S  
Moolort 	Central Goldfields S  
Moolort 	Mount Alexander S  
Moonambel 	Pyrenees S  
Moondarra 	Baw Baw S  
Moondarra 	Latrobe C  
Moonee Ponds 	Moonee Valley C  
Moonlight Flat 	Central Goldfields S  
Moonlight Flat 	Mount Alexander S  
Moora 	Campaspe S  
Moorabbin 	Bayside C  
Moorabbin 	Kingston C  
Moorabbin Airport 	Kingston C  
Moorabool 	Greater Geelong C  
Mooralla 	Southern Grampians S  
Moorilim 	Greater Shepparton C  
Moorilim 	Strathbogie S  
Moormbool West 	Strathbogie S  
Moornapa 	Wellington S  
Moorngag 	Benalla RC  
Moorooduc 	Mornington Peninsula S  
Mooroolbark 	Yarra Ranges S  
Mooroopna 	Greater Shepparton C  
Mooroopna North 	Gr Shepparton C  
Mooroopna North West 	Greater Shepparton C  
Moranding 	Mitchell S  
Morang South 	Whittlesea C  
Mordialloc 	Kingston C  
Moreland 	Moreland C  
Morgiana 	Southern Grampians S  
Moriac 	Surf Coast S  
Mornington 	Mornington Peninsula S  
Moroka 	Wellington S  
Morrisons 	Golden Plains S  
Morrisons 	Moorabool S  
Morrl Morrl 	Northern Grampians S  
Mortlake 	Moyne S  
Morton Plains 	Buloke S  
Morwell 	Latrobe C  
Mosquito Creek 	Greater Bendigo C  
Mossiface 	East Gippsland S  
Mount Alfred 	Towong S  
Mount Beauty 	Alpine S  
Mount Beckworth 	Hepburn S  
Mount Best 	South Gippsland S  
Mount Bolton 	Ballarat C  
Mount Bruno 	Benalla RC  
Mount Buffalo 	Alpine S  
Mount Buller 	Mansfield S  
Mount Buller 	Wellington S  
Mount Burnett 	Cardinia S  
Mount Bute 	Corangamite S  
Mount Bute 	Golden Plains S  
Mount Camel 	Greater Bendigo C  
Mount Cameron 	Central Goldfields S  
Mount Cameron 	Hepburn S  
Mount Clear 	Ballarat C  
Mount Cole 	Ararat RC  
Mount Cole Creek 	Ararat RC  
Mount Cottrell 	Melton S  
Mount Cottrell 	Wyndham C  
Mount Dandenong 	Yarra Ranges S  
Mount Doran 	Moorabool S  
Mount Dryden (-)	Northern Grampians S  
Mount Duneed 	Greater Geelong C  
Mount Duneed 	Surf Coast S  
Mount Eccles 	South Gippsland S  
Mount Eccles South 	Sth Gippsland S  
Mount Eckersley 	Glenelg S  
Mount Egerton 	Moorabool S  
Mount Eliza 	Mornington Peninsula S  
Mount Emu 	Pyrenees S  
Mount Evelyn 	Yarra Ranges S  
Mount Franklin 	Hepburn S  
Mount Glasgow 	Central Goldfields S  
Mount Helen 	Ballarat C  
Mount Hooghly 	Central Goldfields S  
Mount Hotham 	Alpine S  
Mount Lonarch 	Pyrenees S  
Mount Macedon 	Macedon Ranges S  
Mount Major 	Greater Shepparton C  
Mount Martha 	Mornington Pen S  
Mount Mercer 	Golden Plains S  
Mount Moriac 	Surf Coast S  
Mount Napier 	Sthn Grampians S  
Mount Pleasant 	Ballarat C  
Mount Prospect 	Hepburn S  
Mount Richmond 	Glenelg S  
Mount Rowan 	Ballarat C  
Mount Sabine 	Colac Otway S  
Mount Scobie 	Campaspe S  
Mount Talbot 	Horsham RC  
Mount Tassie 	Latrobe C  
Mount Taylor 	East Gippsland S  
Mount Toolebewong 	Yarra Ranges S  
Mount Wallace 	Moorabool S  
Mount Waverley 	Monash C  
Mountain Bay 	Mansfield S  
Mountain View 	Baw Baw S  
Mountain View 	South Gippsland S  
Moutajup 	Southern Grampians S  
Moyarra 	South Gippsland S  
Moyhu 	Wangaratta RC  
Moyreisk 	Northern Grampians S  
Moyston 	Ararat RC  
Muckatah 	Moira S  
Muckleford 	Mount Alexander S  
Muckleford South 	Mt Alexander S  
Mudgeegonga 	Alpine S  
Mudgegonga 	Indigo S  
Mulgrave 	Monash C  
Mumbannar 	Glenelg S  
Mundoona 	Moira S  
Munro 	Wellington S  
Muntham 	Glenelg S  
Muntham 	Southern Grampians S  
Murchison 	Campaspe S  
Murchison 	Greater Shepparton C  
Murchison East 	Gr Shepparton C  
Murchison North 	Gr Shepparton C  
Murgheboluc 	Golden Plains S  
Murmungee 	Wangaratta RC  
Murnungin 	Swan Hill RC  
Murphys Creek 	Loddon S  
Murra Warra 	Horsham RC  
Murra Warra 	Yarriambiack S  
Murrabit 	Gannawarra S  
Murrabit West 	Gannawarra S  
Murrawee 	Swan Hill RC  
Murraydale 	Swan Hill RC  
Murray-Sunset (-)	Mildura RC  
Murrayville 	Mildura RC  
Murrindal 	East Gippsland S  
Murrindindi 	Murrindindi S  
Murroon 	Colac Otway S  
Murrumbeena 	Glen Eira C  
Murtoa 	Yarriambiack S  
Musk 	Hepburn S  
Musk Vale 	Hepburn S  
Muskerry 	Campaspe S  
Myall 	Buloke S  
Myall 	Gannawarra S  
Myamyn 	Glenelg S  
Myers Flat 	Greater Bendigo C  
Myola 	Campaspe S  
Myrniong 	Moorabool S  
Myrrhee 	Benalla RC  
Myrrhee 	Wangaratta RC  
Myrtle Creek 	Greater Bendigo C  
Myrtle Creek 	Mount Alexander S  
Myrtlebank 	Wellington S  
Myrtleford 	Alpine S  
Mysia 	Loddon S  
Mystic Park 	Gannawarra S  
Mywee 	Moira S  
Nagambie 	Strathbogie S  
Nalangil 	Colac Otway S  
Nalinga 	Greater Shepparton C  
Nalinga 	Strathbogie S  
Nambrok 	Wellington S  
Nandaly 	Buloke S  
Nangana 	Cardinia S  
Nangeela 	Glenelg S  
Nangiloc 	Mildura RC  
Nanneella 	Campaspe S  
Nap Nap Marra 	Wellington S  
Napoleons 	Golden Plains S  
Nar Nar Goon 	Cardinia S  
Nar Nar Goon North 	Cardinia S  
Narbethong 	Murrindindi S  
Nareeb 	Moyne S  
Nareeb 	Southern Grampians S  
Nareen 	Glenelg S  
Nareen 	Southern Grampians S  
Nareewillock 	Buloke S  
Nariel Valley 	East Gippsland S  
Nariel Valley 	Towong S  
Naring 	Moira S  
Naringal 	Moyne S  
Naringal East 	Moyne S  
Naroghid 	Corangamite S  
Narracan 	Baw Baw S  
Narracan 	Latrobe C  
Narraport 	Buloke S  
Narrapumelap South 	Ararat RC  
Narrawong 	Glenelg S  
Narre Warren 	Casey C  
Narre Warren East 	Yarra Ranges S  
Narre Warren North 	Casey C  
Narre Warren South 	Casey C  
Narrung 	Swan Hill RC  
Nathalia 	Moira S  
Natimuk 	Horsham RC  
Natte Yallock 	Central Goldfields S  
Natte Yallock 	Northern Grampians S  
Natte Yallock 	Pyrenees S  
Natya 	Swan Hill RC  
Navarre 	Northern Grampians S  
Navarre 	Pyrenees S  
Navigators 	Moorabool S  
Nayook 	Baw Baw S  
Neds Corner 	Mildura RC  
Neereman 	Mount Alexander S  
Neerim 	Baw Baw S  
Neerim East 	Baw Baw S  
Neerim Junction 	Baw Baw S  
Neerim North 	Baw Baw S  
Neerim South 	Baw Baw S  
Neilborough 	Greater Bendigo C  
Nelson 	Glenelg S  
Nerrena 	South Gippsland S  
Nerrin Nerrin 	Ararat RC  
Nerrin Nerrin 	Moyne S  
Nerrina 	Ballarat C  
Nerring 	Pyrenees S  
Netherby 	Hindmarsh S  
Neuarpurr 	West Wimmera S  
New Gisborne 	Macedon Ranges S  
Newborough 	Latrobe C  
Newbridge 	Loddon S  
Newbury 	Hepburn S  
Newcomb 	Greater Geelong C  
Newfield 	Corangamite S  
Newham 	Macedon Ranges S  
Newhaven 	Bass Coast S  
Newington 	Ballarat C  
Newlands Arm 	East Gippsland S  
Newlyn 	Hepburn S  
Newlyn North 	Hepburn S  
Newmerella 	East Gippsland S  
Newport 	Hobsons Bay C  
Newry 	Wellington S  
Newstead 	Mount Alexander S  
Newtown 	Golden Plains S  
Newtown 	Greater Geelong C  
Nhill 	Hindmarsh S  
Nichols Point 	Mildura RC  
Nicholson 	East Gippsland S  
Niddrie 	Moonee Valley C  
Nillahcootie 	Mansfield S  
Nilma 	Baw Baw S  
Ninda 	Buloke S  
Nine Mile 	Buloke S  
Nine Mile 	Loddon S  
Nintingbool 	Golden Plains S  
Ninyeunook 	Gannawarra S  
Nirranda 	Moyne S  
Nirranda East 	Corangamite S  
Nirranda East 	Moyne S  
Nirranda South 	Moyne S  
Noble Park 	Greater Dandenong C  
Noble Park North 	Gr Dandenong C  
Noojee 	Baw Baw S  
Noorat 	Corangamite S  
Noorat 	Moyne S  
Noorat East 	Corangamite S  
Noorinbee 	East Gippsland S  
Noorinbee North 	East Gippsland S  
Noradjuha 	Horsham RC  
Norlane 	Greater Geelong C  
Normanville 	Gannawarra S  
Norong 	Indigo S  
Norong Central 	Indigo S  
North Melbourne 	Melbourne C  
North Melbourne 	Moonee Valley C  
North Shore 	Greater Geelong C  
Northcote 	Darebin C  
Northwood 	Mitchell S  
Norval 	Ararat RC  
Notting Hill 	Monash C  
Nowa Nowa 	East Gippsland S  
Nowhere Creek 	Pyrenees S  
Nowie 	Swan Hill RC  
Nug Nug 	Alpine S  
Nuggetty 	Mount Alexander S  
Nulla Vale 	Mitchell S  
Nullawarre 	Moyne S  
Nullawarre North 	Moyne S  
Nullawil 	Buloke S  
Numurkah 	Moira S  
Nunawading 	Manningham C  
Nunawading 	Whitehorse C  
Nungurner 	East Gippsland S  
Nunniong 	East Gippsland S  
Nuntin 	Wellington S  
Nurcoung 	West Wimmera S  
Nurrabiel 	Horsham RC  
Nurran 	East Gippsland S  
Nutfield 	Nillumbik S  
Nyah 	Swan Hill RC  
Nyah West 	Swan Hill RC  
Nyarrin 	Buloke S  
Nyerimilang 	East Gippsland S  
Nyora 	Baw Baw S  
Nyora 	Cardinia S  
Nyora 	South Gippsland S  
Nyrraby 	Swan Hill RC  
Oak Park 	Moreland C  
Oaklands Junction 	Hume C  
Oakleigh 	Monash C  
Oakleigh East 	Monash C  
Oakleigh South 	Kingston C  
Oakleigh South 	Monash C  
Oakvale 	Gannawarra S  
Ocean Grange 	East Gippsland S  
Ocean Grange 	Wellington S  
Ocean Grove 	Greater Geelong C  
Officer 	Cardinia S  
Officer South 	Cardinia S  
Old Tallangatta 	Towong S  
Olinda 	Yarra Ranges S  
Ombersley 	Colac Otway S  
Ombersley 	Surf Coast S  
Omeo 	East Gippsland S  
Omeo Valley 	East Gippsland S  
Ondit 	Colac Otway S  
Orbost 	East Gippsland S  
Orford 	Moyne S  
Ormond 	Glen Eira C  
Orrvale 	Greater Shepparton C  
Osbornes Flat 	Indigo S  
Outtrim 	Bass Coast S  
Outtrim 	South Gippsland S  
Ouyen 	Mildura RC  
Ovens 	Alpine S  
Oxley 	Wangaratta RC  
Oxley Flats 	Wangaratta RC  
Ozenkadnook 	West Wimmera S  
Paaratte 	Corangamite S  
Painswick 	Loddon S  
Pakenham 	Cardinia S  
Pakenham South 	Cardinia S  
Pakenham Upper 	Cardinia S  
Panitya 	Mildura RC  
Panmure 	Moyne S  
Panton Hill 	Nillumbik S  
Paradise 	Northern Grampians S  
Paradise Beach 	Wellington S  
Paraparap 	Surf Coast S  
Park Orchards 	Manningham C  
Park Orchards 	Maroondah C  
Parkdale 	Kingston C  
Parkville 	Melbourne C  
Parkville 	Moreland C  
Parwan 	Melton S  
Parwan 	Moorabool S  
Paschendale 	Glenelg S  
Pascoe Vale 	Moreland C  
Pascoe Vale South 	Moreland C  
Pastoria 	Macedon Ranges S  
Pastoria East 	Macedon Ranges S  
Patchewollock 	Mildura RC  
Patchewollock 	Yarriambiack S  
Patho 	Campaspe S  
Patterson 	Glen Eira C  
Patterson Lakes 	Kingston C  
Patyah 	West Wimmera S  
Paynesville 	East Gippsland S  
Pearcedale 	Casey C  
Pearcedale 	Mornington Peninsula S  
Pearsondale 	Wellington S  
Peechelba 	Moira S  
Peechelba 	Wangaratta RC  
Peechelba East 	Wangaratta RC  
Pelluebla 	Moira S  
Pennyroyal 	Colac Otway S  
Pennyroyal 	Surf Coast S  
Penshurst 	Moyne S  
Penshurst 	Southern Grampians S  
Pental Island 	Swan Hill RC  
Pentland Hills 	Moorabool S  
Percydale 	Pyrenees S  
Peronne 	West Wimmera S  
Perry Bridge 	Wellington S  
Peterborough 	Corangamite S  
Peterborough 	Moyne S  
Petticoat Creek 	Colac Otway S  
Pheasant Creek 	Murrindindi S  
Piangil 	Swan Hill RC  
Piavella 	Campaspe S  
Picola 	Moira S  
Picola West 	Moira S  
Piedmont 	Baw Baw S  
Pier Milan 	Buloke S  
Pigeon Ponds 	Sthn Grampians S  
Piggoreet 	Golden Plains S  
Pilchers Bridge 	Greater Bendigo C  
Pimpinio 	Horsham RC  
Pine Grove 	Campaspe S  
Pine Lodge 	Greater Shepparton C  
Pine Mountain 	Towong S  
Pine View 	Gannawarra S  
Pinewood 	Monash C  
Pioneer Bay 	Bass Coast S  
Pipers Creek 	Macedon Ranges S  
Pira 	Swan Hill RC  
Piries 	Mansfield S  
Pirron Yallock 	Colac Otway S  
Pirron Yallock 	Corangamite S  
Pitfield 	Golden Plains S  
Pittong 	Corangamite S  
Pittong 	Golden Plains S  
Pittong 	Pyrenees S  
Plenty 	Nillumbik S  
Plumpton 	Melton S  
Point Cook 	Wyndham C  
Point Leo 	Mornington Peninsula S  
Point Lonsdale 	Greater Geelong C  
Point Lonsdale 	Queenscliffe B  
Point Wilson 	Greater Geelong C  
Polisbet 	Swan Hill RC  
Pomborneit 	Corangamite S  
Pomborneit East 	Corangamite S  
Pomborneit North 	Corangamite S  
Pomonal 	Ararat RC  
Pomonal 	Northern Grampians S  
Pompapiel 	Loddon S  
Poolaijelo 	West Wimmera S  
Pootilla 	Moorabool S  
Poowong 	South Gippsland S  
Poowong East 	Baw Baw S  
Poowong East 	South Gippsland S  
Poowong North 	Baw Baw S  
Poowong North 	South Gippsland S  
Porcupine Flat 	Mount Alexander S  
Porcupine Ridge 	Hepburn S  
Porepunkah 	Alpine S  
Port Albert 	Wellington S  
Port Campbell 	Corangamite S  
Port Fairy 	Moyne S  
Port Franklin 	South Gippsland S  
Port Melbourne 	Melbourne C  
Port Melbourne 	Port Phillip C  
Port Welshpool 	South Gippsland S  
Portarlington 	Greater Geelong C  
Portland 	Glenelg S  
Portland North 	Glenelg S  
Portland West 	Glenelg S  
Portsea 	Mornington Peninsula S  
Pound Creek 	Bass Coast S  
Pound Creek 	South Gippsland S  
Powelltown 	Yarra Ranges S  
Powers Creek 	West Wimmera S  
Powlett Plains 	Loddon S  
Powlett River 	Bass Coast S  
Prahran 	Melbourne C  
Prahran 	Stonnington C  
Prairie 	Loddon S  
Pranjip 	Strathbogie S  
Prentice North 	Indigo S  
Preston 	Darebin C  
Princes Hill 	Yarra C  
Princetown 	Corangamite S  
Puckapunyal 	Mitchell S  
Pura Pura 	Ararat RC  
Pura Pura 	Corangamite S  
Pura Pura 	Moyne S  
Purdeet 	Moyne S  
Purdeet 	Southern Grampians S  
Purnim 	Moyne S  
Purnim West 	Moyne S  
Purrumbete South 	Corangamite S  
Pyalong 	Mitchell S  
Pyramid Hill 	Loddon S  
Quambatook 	Gannawarra S  
Quandong 	Wyndham C  
Quantong 	Horsham RC  
Quarry Hill 	Greater Bendigo C  
Queenscliff 	Queenscliffe B  
Queensferry 	Bass Coast S  
Raglan 	Pyrenees S  
Rainbow 	Hindmarsh S  
Rainbow 	Yarriambiack S  
Ranceby 	South Gippsland S  
Rathscar 	Central Goldfields S  
Rathscar 	Pyrenees S  
Rathscar West 	Pyrenees S  
Ravenhall 	Melton S  
Ravenswood 	Mount Alexander S  
Ravenswood South 	Mt Alexander S  
Rawson 	Baw Baw S  
Raymond Island 	East Gippsland S  
Raywood 	Greater Bendigo C  
Raywood 	Loddon S  
Red Bluff 	Indigo S  
Red Cliffs 	Mildura RC  
Red Hill 	Mornington Peninsula S  
Red Hill South 	Mornington Pen S  
Red Lion 	Central Goldfields S  
Redan 	Ballarat C  
Redbank 	Northern Grampians S  
Redbank 	Pyrenees S  
Redcastle 	Campaspe S  
Redcastle 	Greater Bendigo C  
Redesdale 	Greater Bendigo C  
Redesdale 	Mount Alexander S  
Reedy Creek 	East Gippsland S  
Reedy Creek 	Mitchell S  
Reedy Dam 	Buloke S  
Reedy Lake 	Gannawarra S  
Reefton 	Yarra Ranges S  
Regent West 	Darebin C  
Research 	Nillumbik S  
Reservoir 	Darebin C  
Reynard 	Mansfield S  
Reynard 	Wellington S  
Rheola 	Loddon S  
Rhyll 	Bass Coast S  
Rhymney 	Ararat RC  
Riachella 	Northern Grampians S  
Rich Avon 	Buloke S  
Rich Avon East 	Nthn Grampians S  
Rich Avon West 	Nthn Grampians S  
Rich Avon West 	Yarriambiack S  
Richmond 	Yarra C  
Richmond Plains 	Buloke S  
Richmond Plains 	Loddon S  
Riddells Creek 	Macedon Ranges S  
Riggs Creek 	Strathbogie S  
Ringwood 	Maroondah C  
Ringwood East 	Maroondah C  
Ringwood North 	Manningham C  
Ringwood North 	Maroondah C  
Ripplebrook 	Baw Baw S  
Rippleside 	Greater Geelong C  
Ripponhurst 	Moyne S  
Ripponlea 	Port Phillip C  
Riverside 	Horsham RC  
Riverslea 	Wellington S  
Robertsons Beach 	Wellington S  
